Depth (m),A (kPa),B (kPa),C (kPa)
23.15,736.7,938.7,601.3
23.2,735.8,936.2,602.8
23.25,734.9,933.7,604.3
23.3,734.0,931.6,605.8
23.35,734.0,931.5,607.2
23.4,734.0,931.3,606.4
23.45,734.0,931.1,604.5
23.5,736.5,932.0,602.5
23.55,739.9,937.1,600.5
23.6,743.6,942.2,598.6
23.65,748.6,947.3,598.6
23.7,753.7,952.4,598.6
23.75,755.6,957.6,598.6
23.8,755.5,962.7,598.6
23.85,755.4,967.8,598.7
23.9,755.0,970.9,598.7
23.95,754.0,970.9,598.7
24.0,752.6,963.5,599.0
24.05,751.5,956.0,599.5
24.1,751.1,948.6,600.0
24.15,751.4,953.3,600.5
24.2,751.7,961.1,601.0
24.25,752.3,968.9,601.5
24.3,753.2,976.6,589.5
24.35,755.1,1004.5,576.6
24.4,767.6,1068.1,546.0
24.45,777.4,1135.1,508.4
24.5,784.8,1181.2,470.8
24.55,790.3,1227.2,480.7
24.6,789.9,1167.8,508.0
24.65,786.3,1102.2,541.6
24.7,783.1,1047.7,575.1
24.75,781.1,1016.7,592.2
24.8,780.1,1008.1,609.2
24.85,779.2,1004.2,612.8
24.9,778.3,1000.2,615.2
24.95,777.4,997.8,617.6
25.0,777.6,1001.6,619.9
25.05,777.8,1005.3,622.3
25.1,778.0,1009.0,624.7
25.15,779.7,1011.2,627.1
25.2,783.7,1012.2,629.1
25.25,787.7,1013.3,631.2
25.3,791.0,1014.4,633.2
25.35,793.5,1012.7,635.3
25.4,796.0,1009.2,637.3
25.45,793.4,1005.7,639.4
25.5,790.8,1002.2,641.4
25.55,788.2,998.7,643.4
25.6,788.7,1007.1,645.5
25.65,789.2,1015.5,647.5
25.7,789.8,1024.0,649.5
25.75,790.3,1032.4,651.5
25.8,795.5,1040.8,653.5
25.85,800.6,1049.3,655.5
25.9,805.0,1057.7,657.5
25.95,808.9,1066.1,659.5
26.0,812.4,1067.5,661.5
26.05,814.7,1067.2,662.8
26.1,816.2,1066.9,664.0
26.15,817.6,1066.5,665.3
26.2,819.1,1066.7,666.5
26.25,821.2,1069.0,667.7
26.3,823.2,1071.2,669.0
26.35,825.3,1075.1,670.2
26.4,831.4,1079.4,671.5
26.45,838.7,1084.7,672.7
26.5,846.4,1090.0,673.1
26.55,854.3,1095.4,673.2
26.6,856.5,1096.2,673.4
26.65,853.1,1090.2,673.5
26.7,843.3,1084.2,673.6
26.75,835.0,1078.3,673.7
26.8,828.8,1065.9,673.8
26.85,823.3,1052.0,673.9
26.9,820.8,1031.2,674.0
26.95,818.1,1005.8,662.9
27.0,818.4,1044.8,624.2
27.05,795.4,1188.8,521.0
27.1,790.3,1360.4,430.5
27.15,776.7,1523.1,339.9
27.2,752.1,1707.9,267.5
27.25,761.8,1573.6,358.8
27.3,773.9,1408.2,450.1
27.35,792.6,1275.0,537.4
27.4,819.6,1153.3,640.2
27.45,819.2,1081.3,654.5
27.5,822.6,1087.8,667.5
27.55,825.9,1094.2,677.8
27.6,829.3,1100.7,683.0
27.65,832.4,1101.9,688.1
27.7,835.4,1099.7,693.3
27.75,838.6,1097.5,698.5
27.8,842.0,1095.3,702.0
27.85,845.6,1096.0,702.6
27.9,848.0,1097.3,703.2
27.95,850.4,1098.7,703.9
28.0,851.8,1099.3,704.5
28.05,851.9,1099.9,705.1
28.1,852.0,1102.0,705.8
28.15,850.0,1106.3,706.4
28.2,849.9,1110.6,707.0
28.25,852.5,1110.2,708.2
28.3,855.1,1109.8,710.4
28.35,858.3,1109.4,712.6
28.4,861.9,1109.0,714.8
28.45,865.6,1111.1,717.0
28.5,868.5,1117.0,718.6
28.55,871.5,1122.8,715.8
28.6,874.4,1128.7,713.1
28.65,869.2,1116.7,710.4
28.7,864.1,1104.7,707.6
28.75,859.0,1092.8,704.9
28.8,852.2,1080.8,688.1
28.85,856.7,1306.1,600.3
28.9,868.3,1552.0,500.3
28.95,883.8,1878.3,402.5
29.0,898.8,2196.0,256.2
