GROUP,TEST
HEADING,TEST_ID,SITE_ID,TEST_NAME,TEST_TYPE,TEST_LAT,TEST_LON,TEST_ELEV,TEST_REM
DATA,965,186,CPTU-1,SCPG,37.824806,-122.374042,,"From Pass et al. (1994) - Digitized"

GROUP,SCPG
HEADING,SCPG_ID,TEST_ID,SCPG_CSA,SCPG_RATE,SCPG_CREW,SCPG_METH,SCPG_STAR,SCPG_ENDD,SCPG_PWP,SCGP_REM
DATA,276,965,10,2,Pass,"ASTM D3550-84",,,,

GROUP,SCPT
HEADING,SCPT_ID,SCPG_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP
DATA,81212,276,27.8,1.67236,0.0567532,1.01555
DATA,81213,276,27.9,1.67236,0.0658432,1.15439
DATA,81214,276,28,1.67236,0.0465687,1.12393
DATA,81215,276,28.1,1.67236,0.0643839,1.21876
DATA,81216,276,28.2,1.67236,0.0643839,1.21876
DATA,81217,276,28.3,1.67236,0.0643839,1.22893
DATA,81218,276,28.4,1.67236,0.0571098,1.13752
DATA,81219,276,28.5,1.67236,0.0621966,1.23574
DATA,81220,276,28.6,1.67236,0.0621966,1.23574
DATA,81221,276,28.7,1.76199,0.0621966,1.23574
DATA,81222,276,28.8,1.76199,0.0651051,1.08001
DATA,81223,276,28.9,1.76199,0.0683768,0.991974
DATA,81224,276,29,1.76199,0.0647384,1.24256
DATA,81225,276,29.1,1.76199,0.0680094,1.27645

GROUP,WATR
HEADING,WATR_ID,TEST_ID,WATR_DPTH,WATR_DATE,WATR_REM
DATA,503,965,0.7,,"CPTU hydrostatic pore pressure measurements"

